nom;latitude;longitude;taille;nationalite;type;profondeur
PHYLABALTO;36.2333333333333;10.5333333333333;inconnue;inconnue;inconnue;18m
BARBARIGO;36.45;11.9;134.1 X 17.1 X 7;Italien;Cargo;inconnue
TARPON SENTINEL;37.25;9.93333333333333;185 X 27.7 X 16;Greque;Cargo ;inconnue
VERONA ;37.0666666666667;11;60.4 X 10.4 X 3.7;Italien;Cargo;inconnue
WARRIOR;37.3838888888889;8.73333333333333;107.1 X 13.4;Britannique;Cargo;inconnue
NOTO;37.1833333333333;9.85;102.1 X 13.87 X 8.1;Italien;Cargo;inconnue
CAFFARO;34.2333333333333;11.9;121.4 X 15.3 X 8.6;Italien;Cargo;inconnue
BRETON;37.5;9.31666666666667;119 X 13.1 X 8.35;Français;Navire de transport;inconnue
ANTAEUS;37.45;10.9666666666667;100.8 X 14.6;Français;Navire de transport;inconnue
GIOVANI DA VERAZZANO;35.8666666666667;12.0833333333333;107 X 10.2 X 3.5;Italien;Destroyer;inconnue
PARTENOPE;37.8833333333333;10.1666666666667;73.9 X 8.2 X 3.52;Italien;Croiseur torpilleur;inconnue
ARTA;34.9013888888889;11.6166666666667;96.3 X 14 X 5.73;Allemand;Cargo;inconnue
VERDUN;34.8166666666667;11.8666666666667;97.4 X 14 X 6.5;Français;Bateau de transport;inconnue
TRINGA;38.1166666666667;9.46666666666667;91.4 X 12.2 ;Britannique;Cargo à vapeur;inconnue
SAINT ANTIOCO;37.6166666666667;10.7333333333333;120.1 X 15.9 X 8.23;Italien;Navire marchand;inconnue
TORQUATO GENNARI;34.3333333333333;10.8166666666667;inconnue;Italienne;Navire marchand;inconnue
ASSUNTA DE GREGORI;34.9166666666667;11.7;inconnue;inconnue;Navire marchand;inconnue
NARVAL;35.05;11.8833333333333;inconnue;Française;Sous-marin;40m
MOANE;37.5166666666667;8.93333333333333;inconnue;Russe;Bateau commercial;30m
GINERVA;37.1175;11.3338888888889;inconnue;Panamien;Cargo;250m
LIBERIA;35.5333333333333;11.3166666666667;inconnue;Greque;Navire marchand;82m
VERCELLI;37.2;10.2666666666667;inconnue;Italien;Cargo à vapeur;15m
MARIETTA ;36.0930555555556;11.1;inconnue;Italien;Voilier;40m
ARDITO;35.8597222222222;11.0833333333333;inconnue;Britannique;Voilier;20m
EPAVE DE MAHDIA;35.5;11.0666666666667;inconnue;Greque;Navire;40m
HMMS 89;40.1633333333333;9.98333333333333;inconnue;Britannique;Draguer de mine;70m
ROSINA ;36.3333333333333;10.6666666666667;inconnue;Italien;Drageur de mines;70 m
ELEONORA ROSA;36;10.6333333333333;inconnue;Italien;Voilier;20m
HMS HOSTILE;36.8833333333333;11.3166666666667;inconnue;Britannique;Sous-marin;166m
UB-69;37.5;10.6333333333333;inconnue;Allemand;Sous-marin;380
SAINT TRIESTINO-STT;33.8222222222222;11.1297222222222;inconnue;inconnue;Cargo;26m
CARGO DES TRACTEURS;37.4175;9.86666666666667;inconnue;inconnue;Cargo;64 m
BABOUR EL MALAAB;36.9819444444444;11.1047222222222;inconnue;inconnue;inconnue;12m
ROSA GANCITANO;35.5;11.9833333333333;inconnue;inconnue;inconnue;60m
CASTEL VERDE;37.4833333333333;10.7666666666667;inconnue;inconnue;inconnue;100m
HMS TURBULENT;37.0666666666667;8.86666666666667;84.3x7.8x4.5;Britannique;Sous-marin;inconnue
URAGANO;37.5833333333333;10.6166666666667;83.5 x 9.4 x 2.4;Italien;Torpilleur;inconnue
AVIERE;37.8833333333333;10.0833333333333;106.7 X 10.2 X 3.26;inconnue;Destroyer;inconnue
GIUSEPPE LA FARINA;34.5833333333333;11.8333333333333;73.5 X 7.3 X 2.8;Italienne;inconnue;inconnue
YDRA;37.25;9.93333333333333;153.9 x 18.9 x 8.8;inconnue;inconnue;inconnue
SAINT SIMON;37.6;8.63333333333333;99.1 X 14 X 7.9;Français;inconnue;inconnue
CLARK MILLS;37.3333333333333;10.5;134.6 X 17.3 X 8.43;Américain;inconnue;inconnue
5P;37.0666666666667;8.86666666666667;inconnue;Britannique;Sous-marin;inconnue
HMS CAIRO;37.75;10;inconnue;Anglais;Croiseur léger;inconnue
ALMERIA LYKES;36.6666666666667;11.5833333333333;inconnue;Britannique;Cargo;inconnue
RAMPINO SS ;35.9833333333333;10.7666666666667;inconnue;Italien;Navire de sauvetage;inconnue
BRITANNIA;36.5833333333333;11.4666666666667;inconnue;Britannique;Cargo à vapeur;inconnue
NINOTTO;36.5833333333333;11.0833333333333;inconnue;Italien;Voilier;inconnue
MARGHERITA;35.8597222222222;11.0833333333333;inconnue;Italien;Voilier;inconnue
DIANE(ex:MAGALI);37.3166666666667;11.6833333333333;inconnue;Allemand;Cargo;inconnue
SMERALDO;37.6166666666667;11.4666666666667;inconnue;Italien;Sous-marin;inconnue
IMMORTALE LEONE;36.4627777777778;11.6833333333333;inconnue;Italien;Voilier;inconnue
D'ANNUNZIO;33.7333333333333;11.5;inconnue;Italien;Cargo à moteur;inconnue
SAINT ANTOINE;35.5;11.35;inconnue;Français;Voilier;inconnue
SWEDISH PRINCE;36.9;11.7;inconnue;Anglais;Navire de transport;inconnue
LUPA II;33.6833333333333;11.7333333333333;inconnue;Italien;Navire de transport;inconnue
ARGENTARIO;38.1333333333333;9.85;inconnue;Italien;Navire de transport;inconnue
MADDALENA;35.3;11.3833333333333;inconnue;Britannique;Navire marchand;inconnue
CHRISTOPHERO COLOMBO;37.15;11.4166666666667;inconnue;Italien;Navire marchand;inconnue
BAALBECK;36.95;11.3666666666667;inconnue;Allemand;Navire marchand;inconnue
AUGUSTA;37.35;11.5333333333333;inconnue;Italien;Navire marchand;inconnue
3T;37.0666666666667;8.86666666666667;inconnue;inconnue;Sous-marin;inconnue
WARRIMOO;37.6291666666667;8.78333333333333;inconnue;inconnue;Cargo de transport de passager;inconnue
MS-CHANT;36.4166666666667;11.6666666666667;inconnue;Danois;inconnue;inconnue
O97;35.5333333333333;11.0833333333333;inconnue;Italien;inconnue;inconnue
HMS-P48;35.9833333333333;10.7;inconnue;inconnue;inconnue;inconnue
AUSTRALIEN;37.3333333333333;11.3666666666667;inconnue;inconnue;inconnue;inconnue
SANTA ELISA;36.8;11.3833333333333;inconnue;inconnue;inconnue;inconnue
